Date,PeerFlow5,OwnFlow5,Forward5,ExitDate5,PeerFlow20,OwnFlow20,Forward20,ExitDate20,PeerFlow60,OwnFlow60,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2013-09-25,-0.519592616674,0.064644822873,-0.018209408194,2013-10-10,-0.687362689140,1.184070930585,-0.006828528073,2013-10-31,,,-0.098634294385,2013-12-26,0.480000000000,-0.210000000000,0.001061129051,-0.051587301587
2013-09-26,-0.519592616674,0.040989579538,-0.019428571429,2013-10-11,-0.687362689140,1.175429245822,-0.011428571429,2013-11-01,,,-0.093333333333,2013-12-27,0.450000000000,-0.190000000000,0.000744266693,-0.052896725441
2013-09-27,-0.515465393658,0.063043752364,-0.035320926700,2013-10-14,-0.619947484159,1.125436669428,-0.011393847322,2013-11-04,,,-0.087732624383,2013-12-30,0.470000000000,-0.100000000000,0.000448818724,-0.072515033605
2013-09-30,-0.335732756726,0.066498794155,-0.037907505686,2013-10-15,-0.626686043769,1.046203048449,-0.020090978014,2013-11-05,,,-0.103108415466,2013-12-31,0.460000000000,-0.170000000000,-0.000129147431,-0.052575107296
2013-10-08,-0.051370156222,0.024546119928,-0.032380952381,2013-10-16,-0.626686043769,0.835545463268,-0.017523809524,2013-11-06,,,-0.089904761905,2014-01-02,0.450000000000,-0.200000000000,-0.000187151288,-0.056332974525
2013-10-09,-0.017730601245,-0.006505672947,-0.013910355487,2013-10-17,-0.519932177736,0.659095518150,-0.003091190108,2013-11-07,,,-0.067619783617,2014-01-03,0.480000000000,-0.200000000000,-0.000580359332,-0.054933140585
2013-10-10,-0.035461202489,-0.013125196878,0.006604506605,2013-10-18,-0.528597714032,0.533766692958,0.002331002331,2013-11-08,,,-0.053224553225,2014-01-06,0.470000000000,-0.210000000000,-0.000236335089,-0.060463432295
2013-10-11,-0.035461202489,-0.044478709524,0.023622047244,2013-10-21,-0.528597714032,0.483336402136,-0.001968503937,2013-11-11,,,-0.043307086614,2014-01-07,0.500000000000,-0.260000000000,-0.001309912983,-0.078220308576
2013-10-14,-0.018050650124,-0.045725117223,0.020094562648,2013-10-22,-0.528597714032,0.334170211777,-0.004334121355,2013-11-12,,,-0.048463356974,2014-01-08,0.500000000000,-0.330000000000,-0.001086186618,-0.075608869502
2013-10-15,-0.054151950373,-0.013068023418,0.032677165354,2013-10-23,-0.545928786623,0.312920124241,-0.014566929134,2013-11-13,,,-0.051181102362,2014-01-09,0.500000000000,-0.420000000000,-0.002304970773,-0.070458715596
2013-10-16,-0.108303900745,-0.002182757958,0.028996865204,2013-10-24,-0.571925395510,0.324509758472,-0.018025078370,2013-11-14,,,-0.054075235110,2014-01-10,0.540000000000,-0.330000000000,-0.002601951341,-0.075108853411
2013-10-17,-0.073529862315,0.015516385303,0.012736395214,2013-10-25,-0.574325941233,0.315968472091,-0.027016595909,2013-11-15,,,-0.054033191818,2014-01-13,0.500000000000,-0.340000000000,-0.001698897968,-0.076951130562
2013-10-18,-0.073529862315,0.015516385303,0.013076923077,2013-10-28,-0.570700087167,0.286407439854,-0.027307692308,2013-11-18,,,-0.058076923077,2014-01-14,0.450000000000,-0.410000000000,-0.003295029064,-0.042983100661
2013-10-21,-0.073529862315,-0.008712015612,0.016608729239,2013-10-29,-0.570700087167,0.243079074442,-0.026651216686,2013-11-19,,,-0.057551178061,2014-01-15,0.420000000000,-0.380000000000,-0.003306445277,-0.027591349739
2013-10-22,0.000000000000,0.017654743830,-0.001143728555,2013-10-30,-0.561140595032,0.143872043181,-0.046511627907,2013-11-20,,,-0.072817384674,2014-01-16,0.440000000000,-0.370000000000,-0.003591428370,-0.010297482838
