Date,PeerFlow60,OwnFlow60,PriorPrice60,FlowWindowPrice60,PreFlowPrice60,SurgeThreshold,Rally,Event,Forward20,ExitDate20,Forward60,ExitDate60,rate_us_real_10y_level,rate_us_real_10y_change_20d,currency_usdcnh_return_20d,price_return_20d
2015-06-04,0.462331406001,0.576765059099,-0.002111486486,-0.007953118460,-0.001254180602,0.509584840795,False,False,-0.020313161236,2015-07-06,-0.011849344054,2015-08-31,0.550000000000,0.210000000000,-0.000501420422,0.002120441052
2015-06-05,0.462331406001,0.550488802823,-0.000422119038,-0.002111486486,-0.010860484545,0.509584840795,False,False,-0.018565400844,2015-07-07,-0.008438818565,2015-09-01,0.500000000000,0.200000000000,-0.001282043028,-0.000422119038
2015-06-08,0.454548005320,0.588836892181,-0.001264755481,-0.000422119038,-0.001685630004,0.509584840795,False,False,-0.029995775243,2015-07-08,-0.005492184199,2015-09-02,0.550000000000,0.270000000000,0.000507381188,-0.003365586874
2015-06-09,0.656569341018,0.607900468419,0.002967359050,-0.001264755481,-0.014950166113,0.509584840795,True,True,-0.055743243243,2015-07-09,-0.016891891892,2015-09-07,0.540000000000,0.140000000000,-0.000696104791,-0.004208754209
2015-06-10,0.602609134686,0.654084722345,-0.001263689975,0.002967359050,-0.042224928948,0.527006544753,False,False,-0.031197301855,2015-07-10,-0.028667790894,2015-09-08,0.560000000000,0.160000000000,0.000486419709,-0.005453020134
2015-06-11,0.576926158794,0.525181611189,0.005513146735,-0.001263689975,-0.027447767308,0.544428248712,True,True,-0.029113924051,2015-07-13,-0.026582278481,2015-09-09,0.630000000000,0.220000000000,0.001270902147,-0.020247933884
2015-06-12,0.445106058883,0.340160412489,0.014523707817,0.005513146735,-0.031224322104,0.562352434709,True,False,-0.029028186790,2015-07-14,-0.040387042491,2015-09-10,0.560000000000,0.200000000000,0.001233772984,-0.020618556701
2015-06-15,0.309141169987,0.177947118303,0.003808717732,0.014523707817,-0.039392695938,0.562352434709,True,False,-0.029473684211,2015-07-15,-0.034105263158,2015-09-11,0.550000000000,0.240000000000,0.002237854240,-0.032626427406
2015-06-16,0.295700249553,0.284537286975,0.005947323704,0.003808717732,-0.017054908486,0.562352434709,True,False,-0.028728348120,2015-07-16,-0.033798056612,2015-09-14,0.510000000000,0.140000000000,0.001103797224,-0.026715988492
2015-06-17,0.147850124777,0.250530535251,-0.005475989890,0.005947323704,-0.019575177010,0.562352434709,False,False,-0.027906976744,2015-07-17,-0.035095137421,2015-09-15,0.440000000000,0.020000000000,0.000057171800,-0.018703241895
2015-06-18,0.013440920434,0.248074353533,-0.009651699538,-0.005475989890,-0.014528850145,0.562352434709,False,False,-0.035819637590,2015-07-20,-0.042562157606,2015-09-16,0.420000000000,0.040000000000,-0.000197417775,-0.019526381388
2015-06-19,-0.013440920434,0.249299000829,-0.007139857203,-0.009651699538,-0.012841756421,0.562352434709,False,False,-0.053412462908,2015-07-21,-0.022467147096,2015-09-17,0.460000000000,0.110000000000,0.001022266365,-0.019493985898
2015-06-23,-0.027248080146,0.250535799333,-0.020798668885,-0.007139857203,-0.011623080116,0.562352434709,False,False,-0.056499575191,2015-07-22,-0.011045029737,2015-09-18,0.400000000000,0.060000000000,0.001069228946,-0.028477094511
2015-06-24,-0.054496160291,0.251784930797,-0.017871986700,-0.020798668885,0.010084033613,0.562352434709,False,False,-0.065337293169,2015-07-23,-0.011879507849,2015-09-21,0.500000000000,0.160000000000,-0.000285388588,-0.019502074689
2015-06-25,-0.081744240437,0.253046580614,-0.008823529412,-0.017871986700,0.011774600505,0.562352434709,False,False,-0.070822731128,2015-07-24,-0.008481764207,2015-09-22,0.480000000000,0.160000000000,-0.001288379621,-0.014619883041
2015-06-26,-0.108992320583,0.287055316063,-0.005494505495,-0.008823529412,0.001683501684,0.562352434709,False,False,-0.070093457944,2015-07-27,-0.014868309261,2015-09-23,0.490000000000,0.150000000000,0.000019341362,-0.015892931828
2015-06-29,-0.136240400728,0.394800777454,-0.006748207507,-0.005494505495,-0.008382229673,0.562352434709,False,False,-0.064598385040,2015-07-28,-0.008499787505,2015-09-24,0.570000000000,0.240000000000,0.000357830195,-0.010919781604
2015-06-30,-0.163488480874,0.385258450506,-0.021276595745,-0.006748207507,-0.014546965919,0.562352434709,False,False,-0.064447289799,2015-07-29,0.011096884336,2015-09-25,0.460000000000,0.140000000000,0.000930333050,-0.016352201258
2015-07-01,-0.190736561020,0.387208454810,-0.017976588629,-0.021276595745,0.003768844221,0.562352434709,False,False,-0.057486057486,2015-07-30,0.006006006006,2015-09-28,0.480000000000,0.090000000000,0.000254622281,-0.012610340479
2015-07-02,-0.217984641165,0.391721948639,-0.031990029082,-0.017976588629,-0.008291873964,0.562352434709,False,False,-0.064806866953,2015-07-31,0.004291845494,2015-09-29,0.540000000000,0.100000000000,0.000748278476,-0.016877637131
2015-07-03,-0.231608681238,0.393724944776,-0.039867109635,-0.031990029082,-0.002899751450,0.562352434709,False,False,-0.059611231102,2015-08-03,-0.003887688985,2015-09-30,0.490000000000,-0.060000000000,0.000553290952,-0.021582733813
2015-07-06,-0.245232721311,0.395748530077,-0.023060796646,-0.039867109635,-0.011088295688,0.562352434709,False,False,-0.067927773001,2015-08-04,0.003869303525,2015-10-08,0.490000000000,-0.010000000000,0.000560052540,-0.016047297297
2015-07-07,-0.258856761384,0.397793023640,-0.029781879195,-0.023060796646,-0.024539877301,0.544428248712,False,False,-0.051393728223,2015-08-05,0.019163763066,2015-10-09,0.430000000000,-0.120000000000,0.000341302423,-0.023638666104
2015-07-08,-0.272480801457,0.399858751194,-0.065998329156,-0.029781879195,-0.019333607569,0.527006544753,False,False,-0.026386404293,2015-08-06,0.059928443649,2015-10-12,0.400000000000,-0.140000000000,0.002103459272,-0.054945054945
2015-07-09,-0.276244365766,0.401946045269,-0.024852569503,-0.065998329156,-0.018450184502,0.509584840795,False,False,-0.051348999130,2015-08-07,0.030461270670,2015-10-13,0.390000000000,-0.170000000000,0.001803063598,-0.023618726276
2015-07-10,-0.276244365766,0.404055245372,-0.028293918919,-0.024852569503,-0.034174125305,0.492163136836,False,False,-0.048239895698,2015-08-10,0.035202086050,2015-10-14,0.470000000000,-0.160000000000,0.001432782449,-0.029523407845
2015-07-13,-0.276244365766,0.403549122215,-0.031852472758,-0.028293918919,-0.041683528936,0.487807710846,False,False,-0.043760831889,2015-08-11,0.046360485269,2015-10-15,0.550000000000,-0.010000000000,0.000705064228,-0.027368421053
2015-07-14,-0.276244365766,0.397734504264,-0.035908141962,-0.031852472758,-0.032441200324,0.487807710846,False,False,-0.011713665944,2015-08-12,0.042516268980,2015-10-16,0.580000000000,0.030000000000,0.000005630404,-0.026559865093
2015-07-15,-0.276244365766,0.391857886207,-0.045510964005,-0.035908141962,-0.027213647441,0.487807710846,False,False,0.022183558069,2015-08-13,0.043932144411,2015-10-19,0.560000000000,0.050000000000,0.000162570219,-0.025760135135
2015-07-16,-0.266107684910,0.388598259080,-0.041684035015,-0.045510964005,-0.040111199365,0.487807710846,False,False,-0.003044802088,2015-08-14,0.039582427142,2015-10-20,0.520000000000,0.080000000000,0.000956566410,-0.026260059297
2015-07-17,-0.314137496237,0.381580927403,-0.046453753629,-0.041684035015,-0.065446045968,0.487807710846,False,False,0.003059440559,2015-08-17,0.048951048951,2015-10-21,0.520000000000,0.100000000000,0.001573206488,-0.025847457627
2015-07-20,-0.331634063070,0.373519358514,-0.061506276151,-0.046453753629,-0.061867704280,0.487807710846,False,False,0.032243618451,2015-08-18,0.066726377071,2015-10-22,0.510000000000,0.050000000000,0.001476621503,-0.051184433164
2015-07-21,-0.364079142715,0.413183485456,-0.072113380575,-0.061506276151,-0.087786259542,0.487807710846,False,False,0.035119315624,2015-08-19,0.075641602882,2015-10-23,0.560000000000,0.160000000000,0.001069697907,-0.054375531011
2015-07-22,-0.351943171291,0.457507351852,-0.072390572391,-0.072113380575,-0.073387408266,0.485878537603,False,False,0.061280072628,2015-08-20,0.086246028143,2015-10-26,0.530000000000,0.030000000000,0.001396706611,-0.067287346593
2015-07-23,-0.409293544593,0.461962558313,-0.078815679733,-0.072390572391,-0.088607594937,0.485235479856,False,False,0.093108169785,2015-08-21,0.088087631219,2015-10-27,0.530000000000,0.050000000000,0.001748006482,-0.063586265367
2015-07-24,-0.402686065198,0.470724003887,-0.093322272916,-0.078815679733,-0.080873898045,0.485235479856,False,False,0.092279579717,2015-08-24,0.091822750114,2015-10-28,0.490000000000,0.000000000000,0.001524714559,-0.070973225669
2015-07-27,-0.395929094755,0.529078995564,-0.081361560814,-0.093322272916,-0.068752414059,0.485235479856,False,False,0.089959109496,2015-08-25,0.085415720127,2015-10-29,0.510000000000,-0.060000000000,0.003500486604,-0.060297239915
2015-07-28,-0.395929094755,0.534340996482,-0.080922431866,-0.081361560814,-0.072748267898,0.485235479856,False,False,0.071624087591,2015-08-26,0.076186131387,2015-10-30,0.500000000000,0.040000000000,0.001862158396,-0.065643648764
2015-07-29,-0.415756439666,0.515127404778,-0.077278454431,-0.080922431866,-0.077369439072,0.485235479856,False,False,0.056440600819,2015-08-27,0.061902594447,2015-11-02,0.510000000000,0.030000000000,0.001699734970,-0.064708386547
2015-07-30,-0.415756439666,0.503661130655,-0.085186739404,-0.077278454431,-0.063335955940,0.485235479856,False,False,0.067921064709,2015-08-28,0.071592473612,2015-11-03,0.520000000000,-0.020000000000,0.001927310113,-0.064377682403
2015-07-31,-0.415756439666,0.501110151721,-0.081000848176,-0.085186739404,-0.078499613302,0.485235479856,False,False,0.072576940744,2015-08-31,0.058337161231,2015-11-04,0.510000000000,0.020000000000,0.002885033937,-0.062716262976
2015-08-03,-0.415756439666,0.485691377822,-0.075981426762,-0.081000848176,-0.088871715611,0.485235479856,False,False,0.083948339483,2015-09-01,0.056273062731,2015-11-05,0.460000000000,-0.030000000000,0.002122176137,-0.060515021459
2015-08-04,-0.415756439666,0.477868242685,-0.082877576777,-0.075981426762,-0.074609375000,0.485235479856,False,False,0.080808080808,2015-09-02,0.046831955923,2015-11-06,0.460000000000,0.030000000000,0.001064596805,-0.057501080847
2015-08-05,-0.415756439666,0.469963856923,-0.083754208754,-0.082877576777,-0.077251552795,0.485235479856,False,False,0.069361506661,2015-09-07,0.033073036288,2015-11-09,0.520000000000,0.120000000000,-0.000360019801,-0.026386404293
2015-08-06,-0.415756439666,0.461976948133,-0.086828859060,-0.083754208754,-0.073322932917,0.485235479856,False,False,0.056880733945,2015-09-08,0.032110091743,2015-11-10,0.580000000000,0.190000000000,-0.000803490362,-0.059611231102
2015-08-07,-0.415756439666,0.459153687922,-0.096280991736,-0.086828859060,-0.047923322684,0.485235479856,False,False,0.053424657534,2015-09-09,0.026940639269,2015-11-11,0.560000000000,0.090000000000,0.000129481695,-0.049543676662
2015-08-10,-0.415756439666,0.466850945307,-0.094845360825,-0.096280991736,-0.037390612570,0.485235479856,False,False,0.033529678296,2015-09-10,0.018577254191,2015-11-12,0.520000000000,-0.030000000000,-0.000018498917,-0.049783549784
2015-08-11,-0.409293544593,0.464023588308,-0.081973898858,-0.094845360825,-0.031549520767,0.468057424465,False,False,0.007023705004,2015-09-11,-0.018437225637,2015-11-13,0.550000000000,-0.030000000000,-0.000285540319,-0.025119099177
2015-08-12,-0.402686065198,0.461166083767,-0.043567612002,-0.081973898858,-0.010891488503,0.462331406001,False,False,-0.026808510638,2015-09-14,-0.042553191489,2015-11-16,0.490000000000,-0.070000000000,0.027820738335,0.008669267447
2015-08-13,-0.395929094755,0.467744349648,-0.037822111388,-0.043567612002,-0.025240384615,0.456493855490,False,False,-0.004363001745,2015-09-15,-0.022687609075,2015-11-17,0.520000000000,0.000000000000,0.034516100488,0.006959547629
2015-08-14,-0.389017501974,0.478319754068,-0.044869131699,-0.037822111388,-0.036829463571,0.447466545492,False,False,-0.010021786492,2015-09-16,-0.038779956427,2015-11-18,0.570000000000,0.050000000000,0.040225954149,0.000000000000
2015-08-17,-0.381945918001,0.478202606609,-0.045624222314,-0.044869131699,-0.032556270096,0.427734436366,False,False,0.000433839479,2015-09-17,-0.037310195228,2015-11-19,0.580000000000,0.070000000000,0.038770963749,0.025858225591
2015-08-18,-0.374708722516,0.469935024013,-0.049938093273,-0.045624222314,-0.022303325223,0.421943895527,False,False,0.012614180078,2015-09-18,-0.029578077425,2015-11-20,0.580000000000,0.020000000000,0.037047795301,0.034141958670
2015-08-19,-0.386418370095,0.457596095180,-0.041493775934,-0.049938093273,-0.016639610390,0.421943895527,False,False,-0.003849443969,2015-09-21,-0.050470487596,2015-11-23,0.620000000000,0.090000000000,0.037256642014,0.048094373866
2015-08-20,-0.398128017674,0.406767764851,-0.020050125313,-0.041493775934,-0.022312373225,0.421082637220,False,False,-0.023799582463,2015-09-22,-0.076826722338,2015-11-24,0.550000000000,0.020000000000,0.040309456086,0.062019013128
2015-08-21,-0.409837665252,0.329835386770,-0.000418235048,-0.020050125313,-0.036619718310,0.372262523109,False,False,-0.030112923463,2015-09-23,-0.070263488080,2015-11-25,0.530000000000,0.040000000000,0.036312943562,0.093321134492
2015-08-24,-0.421547312831,0.297398884379,0.000000000000,-0.000418235048,-0.030806647750,0.356084847106,False,False,-0.027511463110,2015-09-24,-0.077532305127,2015-11-26,0.520000000000,0.010000000000,0.036380028597,0.075915047447
2015-08-25,-0.327870132202,0.467341104025,-0.007127882600,0.000000000000,-0.031720211468,0.356084847106,False,False,0.008514261388,2015-09-25,-0.056619838229,2015-11-27,0.520000000000,0.020000000000,0.044182647550,0.080291970803
2015-08-26,-0.292741189466,0.472339404602,-0.012610340479,-0.007127882600,-0.026133115557,0.356084847106,False,False,0.010340370530,2015-09-28,-0.062042223180,2015-11-30,0.590000000000,0.080000000000,0.047496541963,0.069185252617
2015-08-27,-0.292741189466,0.562308815003,-0.020253164557,-0.012610340479,-0.024600246002,0.356084847106,False,False,0.005586592179,2015-09-29,-0.056295659648,2015-12-01,0.650000000000,0.130000000000,0.043830317652,0.065137614679
2015-08-28,-0.304450837045,0.576244688527,-0.012695725772,-0.020253164557,-0.007953118460,0.356084847106,False,False,-0.012419700214,2015-09-30,-0.050963597430,2015-12-02,0.600000000000,0.090000000000,0.041490404053,0.076603599446
2015-08-31,-0.316160484623,0.569074573949,-0.012246621622,-0.012695725772,-0.002111486486,0.356084847106,False,False,-0.006382978723,2015-10-08,-0.074468085106,2015-12-03,0.580000000000,0.120000000000,0.038719425212,0.068524440384
2015-09-01,-0.324075324365,0.504710632571,-0.006331785564,-0.012246621622,-0.000422119038,0.356084847106,False,False,-0.005947323704,2015-10-09,-0.066270178420,2015-12-04,0.580000000000,0.120000000000,0.035732572805,0.079816513761
2015-09-02,-0.406505442092,0.429098938618,-0.006339814032,-0.006331785564,-0.001264755481,0.356084847106,False,False,0.018041237113,2015-10-12,-0.038230240550,2015-12-07,0.600000000000,0.080000000000,0.031849110238,0.079926504364
2015-09-07,-0.406505442092,0.373220537793,-0.024462252214,-0.006339814032,0.002967359050,0.344957195634,False,False,0.027777777778,2015-10-13,-0.034288194444,2015-12-08,0.640000000000,0.060000000000,0.036769944595,0.062471290767
2015-09-08,-0.396342806039,0.379885190254,-0.028679881906,-0.024462252214,-0.001263689975,0.341247978477,False,False,0.032509752926,2015-10-14,-0.033376679671,2015-12-09,0.640000000000,0.080000000000,0.041990060953,0.053040695016
2015-09-09,-0.287475316480,0.382957500623,-0.026105263158,-0.028679881906,0.005513146735,0.330120327005,False,False,0.058746163963,2015-10-15,-0.021920210434,2015-12-10,0.670000000000,0.150000000000,0.038403658671,0.053758542141
2015-09-10,-0.246407414125,0.373220537793,-0.036256323777,-0.026105263158,0.014523707817,0.315283458375,False,False,0.047515257193,2015-10-16,-0.031822144725,2015-12-11,0.650000000000,0.100000000000,0.040604971269,0.015548645047
2015-09-11,-0.238590036618,0.215628773504,-0.034206081081,-0.036256323777,0.003808717732,0.311574241218,False,False,0.049409707040,2015-10-19,-0.022299956275,2015-12-14,0.640000000000,0.150000000000,0.000065762897,-0.017189514396
2015-09-14,-0.140515770944,0.218016404261,-0.033460398136,-0.034206081081,0.005947323704,0.309749437795,False,False,0.047326906223,2015-10-20,-0.024539877301,2015-12-15,0.610000000000,0.090000000000,-0.003299280426,-0.014254859611
2015-09-15,-0.026525316204,0.228285340932,-0.033898305085,-0.033460398136,-0.005475989890,0.299060479662,False,False,0.056338028169,2015-10-21,-0.022007042254,2015-12-16,0.620000000000,0.050000000000,-0.009321430782,-0.008264462810
2015-09-16,0.000000000000,0.233138919184,-0.036802030457,-0.033898305085,-0.009651699538,0.282985509894,False,False,0.032957502168,2015-10-22,-0.028620988725,2015-12-17,0.720000000000,0.140000000000,-0.006592674376,-0.010430247718
2015-09-17,0.028011335254,0.238031007506,-0.020815632965,-0.036802030457,-0.007139857203,0.278747263341,False,False,0.026202749141,2015-10-23,-0.052405498282,2015-12-18,0.730000000000,0.150000000000,-0.006154357047,0.001303214596
2015-09-18,0.057637164444,0.236987589020,-0.019043588658,-0.020815632965,-0.020798668885,0.278747263341,False,False,0.027479604981,2015-10-26,-0.041648776299,2015-12-21,0.630000000000,0.010000000000,-0.006217116168,0.003463203463
2015-09-21,0.074184343147,0.229937457012,-0.005086901229,-0.019043588658,-0.017871986700,0.278747263341,False,False,0.019674935843,2015-10-27,-0.037639007699,2015-12-22,0.580000000000,0.030000000000,-0.011659394052,0.000426257460
2015-09-22,0.091743586868,0.197599073436,-0.008499787505,-0.005086901229,-0.008823529412,0.278747263341,False,False,0.030616645106,2015-10-28,-0.033203967227,2015-12-23,0.660000000000,0.130000000000,-0.006373897535,-0.023849372385
2015-09-23,0.126183628726,0.101608314463,-0.012314225053,-0.008499787505,-0.005494505495,0.278747263341,False,False,0.024003429061,2015-10-29,-0.039005572225,2015-12-24,0.630000000000,0.110000000000,-0.005892714940,-0.023099538009
2015-09-24,0.146580600329,0.101793011183,-0.000852514919,-0.012314225053,-0.006748207507,0.278747263341,False,False,-0.004221190376,2015-10-30,-0.051498522583,2015-12-25,0.640000000000,0.120000000000,-0.008592282344,-0.010135135135
2015-09-25,0.168351113081,0.103988791103,0.004257130694,-0.000852514919,-0.021276595745,0.278747263341,True,False,-0.005117270789,2015-11-02,-0.041364605544,2015-12-28,0.640000000000,0.050000000000,-0.014702800142,0.004257130694
2015-09-28,0.174217039588,0.098695753889,0.006437768240,0.004257130694,-0.017976588629,0.278747263341,True,False,-0.002136752137,2015-11-03,-0.042735042735,2015-12-29,0.710000000000,0.060000000000,-0.014204897832,0.009905254091
2015-09-29,0.159575411202,0.095389040533,0.000865051903,0.006437768240,-0.031990029082,0.278747263341,True,False,-0.000867302689,2015-11-04,-0.026452732003,2015-12-30,0.710000000000,0.110000000000,-0.018613330781,-0.008144020574
2015-09-30,0.144405200994,0.103104931362,-0.006866952790,0.000865051903,-0.039867109635,0.278747263341,False,False,-0.019271948608,2015-11-05,-0.042398286938,2015-12-31,0.660000000000,0.080000000000,-0.018289111565,-0.010688328345
2015-10-08,0.128677259052,0.107181928388,0.014267185473,-0.006866952790,-0.023060796646,0.278747263341,True,False,-0.025641025641,2015-11-06,-0.044871794872,2016-01-04,0.650000000000,0.070000000000,-0.012285603415,-0.003398470688
2015-10-09,0.131086960593,0.111289173789,0.050983899821,0.014267185473,-0.029781879195,0.278747263341,True,False,-0.051054852321,2015-11-09,-0.047679324895,2016-01-05,0.540000000000,-0.060000000000,-0.011873357090,-0.000425350915
2015-10-12,0.133588636060,0.109841827768,0.025917926566,0.050983899821,-0.065998329156,0.278747263341,True,False,-0.049831081081,2015-11-10,-0.044763513514,2016-01-06,0.580000000000,-0.060000000000,-0.016710670009,0.026805015132
2015-10-13,0.114504545194,0.112121030916,0.026075619296,0.025917926566,-0.024852569503,0.278747263341,True,False,-0.055835432410,2015-11-11,-0.031066330814,2016-01-07,0.580000000000,-0.060000000000,-0.024060848990,0.025184541902
